name,type,
New York Cocktail,whiskey,
Night Cap,brandy,
No. 9 Cocktail,gin,
Norina,peach liqueur,
Northern Lights,whiskey,
Nuts and Berries,Chambord and Frangelico,
Old-Fashioned,whiskey,
Orange Margarita,tequila,
Orange Martini,gin or vodka,
Orgasm Cocktail,coffee, amaretto and Irish cream liqueurs,
Obituary Cocktail,gin,
Old-Fashioned,Knob Creek,
Old Pal Cocktail,whiskey,
Old Thyme Sour,whiskey,
Orange Blossom,gin,
Orchard Catch Cooler,vodka,
Oriental Cocktail,whiskey,
Frozen Pina Colada,rum,
Painkiller,rum,
Paloma,tequila,
Park Avenue,gin,
Pearl Harbor,vodka,
Peartini,vodka,
Pegu Club Cocktail,gin,
Peppermint Patty,vodka,
Perfect Manhattan,whiskey,
Perfect Martini,gin,
Pimm's Cup,Pimm's No. 1,
Piña Colada,rum,
Pineapple Mimosa,vodka,
Pineapple Mojito,rum,
Pisco Sour,pisco,
Planter's Punch,rum,
Poinsettia,Champagne,
Pomegranate Margarita,tequila,
Presbyterian,whiskey,
Pumpkin Martini,vodka,
Packers Punch,whiskey,
Palin's Christmas Punch,gin,
PAMA Martini,vodka,
PAMA Paradise,brandy,
Papaya Smash,tequila,
Paradise,gin,
Passion Cocktail,tequila,
Passion Pearl,rum,
Patrón Grapefruit,tequila,
Patrón Pineapple,tequila,
Patrón Pomegranate,tequila,
Paulista,rum,
Peach Candy Corn Cocktail,vodka,
Peach Cobbler,vodka,
Peach Margarita,tequila,
Peach Punch,vodka,
Peach Pomegranate Holiday Martini,vodka,
Pear Naked Sailor,rum,
Peary Bird,vodka,
Peppermelon,gin,
Peppermint Froth,vodka,
Perfect Storm,Grand Marnier,
Pineapple and Sage Gimlet,gin,
Pineapple Chili Margarita,tequila,
Pink Campari,whiskey,
Pink Elephant,Amarula Cream,
Pink Flamingo,vodka,
UV Pink Flamingo,vodka,
Pink Gin,gin,
Pink Honey Martini,vodka,
Pink Lady,gin,
Pink Squirrel,creme de noyaux,
Plantation Fever,rum,
Playoff Punch,gin,
Plumdog Millionaire,gin,
,JMW's, Poinsettia Punch,gin,
Polished Princess,vodka,
Pomegranate Gin Fizz,gin,
Pomegranate Poinsettia,Champagne,
Pot of Gold,vodka,
Prankster Margarita,tequila,
Prickly Pear Margarita,tequila,
Prohibidos,tequila,
Pumpkin Fever,rum,
Pumpkin Old Fashioned,whiskey,
Pumpkin Pie Martini,vodka, 
Pumpkin Shandy,beer,
Pumpkin Spice,vodka,
Pumpkin Spice Martini,whiskey,
Purple Haze,vodka,
Purple Viking,Southern Comfort,
Ramos Fizz,gin,
Raspberry Bellini,cachaca,
Raspberry Margarita,tequila,
Raspberry Mojito,rum,
Red Beer,beer,
Rhett Butler,Southern Comfort,
Roasted Toasted Almond,vodka,
Robert Burns,whiskey,
Rob Roy,whiskey,
Rock and Rye,whiskey,
Root Beer Floatini,vodka,
Rosemary Lemonade,tequila,
Rum & Coke,rum,
Rum Runner,rum,
Rusty Nail,whiskey,
Raspberita,tequila,
Raspberry Caipirinha,cachaca,
Raspberry Peach Cobbler,Grand Marnier,
Raspberry Press,vodka,
Raven,vodka,
Razzie Jazzie,vodka,
Red & Yellow,rum,
Red Carpet,vodka,
Red Carpet Glamour,Champagne,
Red Lotus,vodka,
Red Over Heels,vodka,
Red Pepper Sangrita Margarita,tequila,
Red Stag Lemonade,whiskey,
Red Velvet Shortcake,vodka,
Red, White, and Sapphire,gin,
Reposado Old-fashioned,tequila,
Rhubarb-Rosemary Daiquiri,rum,
Rhubarb Collins,gin,
Rhube Martini,tequila,
Rhyme & Reason,rum,
Rock Lobster,rum,
Rocky Cucumber,vodka,
Rooster Cocktail,whiskey,
Root Beer Float,vodka,
Rosangel Margarita,tequila,
Rose,brandy,
Rosé Berry Bliss,wine,
Rose Martini,gin,
Royal Smash,Royal Combier,
Royal-Tea,gin,
Ruby Queen,whiskey,
Ruby Negroni,gin,
Ruby Rum Sunrise,rum,
,The, Rustic Manhattan,whiskey,
Ryan's Ire Cocktail,whiskey,
Saketini,gin,
Salty Dog,gin,
San Francisco Cocktail,sloe gin,
